url_or_pattern,source_file,source_field,generated_output,output_field,web_template,web_field,status
/tours/from-surabaya/{slug},2-product-and-commercial-core/tour-products/*.product-contract.json,"name,seoTitle,seoDescription,description,imageUrl,gallery,route,faqs,aggregateRating","tour product detail output","name,seoTitle,seoDescription,description,imageUrl,pageUrl,faqSchema","src/app/(website)/tours/from-surabaya/[slug]/page.tsx","metadata.title,metadata.description,<h1>,JSON-LD,FAQPage","active"
/tours/from-bali/{slug},2-product-and-commercial-core/tour-products/*.product-contract.json,"name,seoTitle,seoDescription,description,imageUrl,gallery,route,faqs,aggregateRating","tour product detail output","name,seoTitle,seoDescription,description,imageUrl,pageUrl,faqSchema","src/app/(website)/tours/from-bali/[slug]/page.tsx","metadata.title,metadata.description,<h1>,JSON-LD,FAQPage","active"
/destinations/{slug},1-knowledge-and-evidence-core/destination-knowledge/*.json,"title,summary,description,imageUrl,geo",destination detail output,"title,description,image,metadata","src/app/(website)/destinations/[slug]/page.tsx","meta.title,meta.description,hero image,structured data","active"
/travel-guide/{slug},1-knowledge-and-evidence-core/**/*.json or *.website-output.json,"page.title,page.description,content.payload,meta.lastReviewed",website output page payload,"title,description,content blocks,metadata","src/app/(website)/travel-guide/EcosystemTravelGuidePage.tsx","metadata.title,content sections,FAQ","active"
/why-jvto/{slug},1-knowledge-and-evidence-core/**/*.json or *.website-output.json,"page.title,page.description,content.payload,meta.lastReviewed",website output page payload,"title,description,content blocks,metadata","src/app/(website)/why-jvto/[slug]/page.tsx","metadata.title,content sections,JSON-LD","active"
/verify-jvto/{slug},1-knowledge-and-evidence-core/**/*.json or *.website-output.json,"page.title,page.description,content.payload,meta.lastReviewed",website output page payload,"title,description,content blocks,metadata","src/app/(website)/verify-jvto/[slug]/page.tsx","metadata.title,content sections,JSON-LD","active"
/policy/{slug},1-knowledge-and-evidence-core/**/*.json or *.website-output.json,"page.title,page.description,content.payload,meta.lastReviewed",website output page payload,"title,description,content blocks,metadata","src/app/(website)/policy/[slug]/page.tsx","metadata.title,content sections,FAQ","active"
/blog/{slug},1-knowledge-and-evidence-core/**/*.json or *.website-output.json,"post.title,post.summary,post.date,slug,content",blog output payload,"title,description,date,content","src/app/(website)/blog/[slug]/page.tsx","metadata.title,article body,canonical","active"
/,/home-source-data or website-output files,"page.title,page.description,canonical,ogImage",home page output,"title,description,canonical,ogImage","src/app/(website)/page.tsx","metadata.title,metadata.description,openGraph image,hero","active"
/tours,/tours,2-product-and-commercial-core/tour-products/*.product-contract.json,"product list metadata,route items,prices,highlights",tour listing output,"title,description,featured packages","src/app/(website)/tours/page.tsx","metadata.title,package cards","active"
