canonical_id,url_or_pattern,conflict_register_id,handoff_register_id,type,element,current_status,evidence_type,evidence_summary,file_path,minimum_action_if_still_open,verified_at_commit_web,verified_at_commit_ekosistem
P1-SURABAYA-SCHEMA,/tours/from-surabaya/{slug},issue-001,handoff-001,duplicate_owner,structured-data-graph,RESOLVED,code+live,"ekosistem supplies only TouristTrip+AggregateOffer; web builds WebPage+Product locally; live sample bromo-1d1n shows WebPage=1 BreadcrumbList=1 Product=1 (all singleton, raw count)",src/app/(website)/tours/from-surabaya/[slug]/page.tsx,none,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P2-BALI-RATING,/tours/from-bali/{slug},issue-003,handoff-002,source_output_mismatch,aggregateRating,RESOLVED,code+live,"tourAggregateRating extracted from ekosistem TouristTrip node identically to Surabaya logic, no org-level fallback; live sample bromo-ijen-3d2n shows Product=1 WebPage=1 (singleton)",src/app/(website)/tours/from-bali/[slug]/page.tsx,none,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P3-WHYJVTO-METADATA,/why-jvto/{slug},issue-002,handoff-003,missing_owner,social metadata,OPEN,code (contradicted by live - see notes),"generateMetadata() builds title/description/canonical inline, never calls buildStaticRouteMetadata/buildEcosystemRouteMetadata/resolveOgImage; live sample the-jvto-difference nonetheless shows og:image present, hypothesis: stale ISR cache predating a code refactor (unverified)",src/app/(website)/why-jvto/[slug]/page.tsx,assign explicit metadata owner (call shared builder); force a revalidation and re-check og:image before closing,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P4-TRAVELGUIDE-METADATA,/travel-guide/{slug},issue-004,handoff-004,template_non_uniform,metadata contract,PARTIALLY_RESOLVED,code+live,"hub and detail both now call buildEcosystemRouteMetadata() (improvement since snapshot) but hub still overrides title/description/openGraph with its own hardcoded fallback afterward while detail passes builder output straight through; live shows both variants with complete title/desc/canonical/og:image/H1, no missing-field defect",src/app/(website)/travel-guide/page.tsx; src/app/(website)/travel-guide/EcosystemTravelGuidePage.tsx,"REVISED: cannot simply remove hub override - it sets a twitter card block (summary_large_image) that buildEcosystemRouteMetadata() does not provide; removing it would regress a working feature. Needs Sam's decision: (a) add twitter-card support to buildEcosystemRouteMetadata() then remove override, or (b) accept override as intentional enrichment and close as partially-resolved-by-design. Excluded from execution batch.",485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P5-POLICY-CANONICAL,/policy/{slug},issue-005,handoff-005,fallback_only,canonical metadata,OPEN,code,staticRouteCanonical() always synthesizes canonical from the request route; no explicit seo.canonicalRoute source field exists in the policy source contract; current live canonical value happens to be correct but the mechanism is unchanged from the audit baseline,src/lib/ecosystemContent/staticPageAdapter.ts (staticRouteCanonical); src/app/(website)/policy/PolicyEcosystemPage.tsx,add an explicit source-driven canonical field and stop deriving canonical from the request path alone,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P5-POLICY-WEBPAGE-DUP,/policy/{slug},(new - not in original registers),(new - not in original registers),duplicate_owner,structured-data-graph (WebPage),NOT A DEFECT (revised 2026-09-02),live (raw count),"REVISED: matches documented decision in jvto-web/src/lib/schemas/buildPolicySchemas.ts (buildPolicyWebPageSchema()), code comment dated 2026-04-29 (AEO/GEO port Phase 4.7), references cluster_role_contracts.md Cluster 6 - #policy-anchor is deliberately a second WebPage node with a distinct @id to avoid @id collision with PageJsonLdCombined's #webpage node, same dual-source pattern as homepage FAQPage. Original raw-count evidence (2 distinct WebPage nodes, different @id and content) unchanged - only the status classification changed.",(schema assembly for policy detail template - exact builder not isolated in this pass),"none - not a defect, excluded from execution batch",485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P6-DESTINATION-JSONLD,/destinations/{slug},issue-006,handoff-006,render_missing,JSON-LD,LARGELY_RESOLVED (2 of 5 sampled),live,"mount-bromo: 1 JSON-LD script, 10 nodes, WebPage/BreadcrumbList singleton, TouristAttraction+Report+SpecialAnnouncement present - matches handoff-006 acceptance",src/app/(website)/destinations/[slug]/page.tsx,"sample the remaining 3 destinations (tumpak-sewu, madakaripura, papuma) before fully closing",485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
P6-IJEN-WEBPAGE-XREF,/destinations/ijen-crater,(new - not in original registers),(new - not in original registers),template_non_uniform (soft),structured-data-graph (WebPage cross-reference),OBSERVED - not a same-page duplicate,live (raw count),"ijen-crater emits a 2nd WebPage-typed node (#related-travel-guide) whose url points to a DIFFERENT page (/travel-guide/ijen-health-screening); does not violate 'one WebPage for this page' since url differs from the page itself, but mount-bromo has no equivalent node - stylistically inconsistent",src/app/(website)/destinations/[slug]/page.tsx,decide whether cross-page mentions should keep the WebPage type or use a lighter node shape; check if pattern repeats on other destinations,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
R1-RENDER-OUTPUT,"/travel-guide, /travel-guide/*, /policy, /policy/*",(risk register R1, not in issue/handoff CSVs),(risk register R1, not in issue/handoff CSVs),render_missing,route-output-index family coverage,RESOLVED - HOLDING,code+data,"commit 2bc370e1 (revert before the render-script rewrite) is an ancestor of current HEAD; current route-output-index.json contains all required route families (travel-guide, policy, why-jvto, verify-jvto, destinations, tours, blog) verified by JSON parse; only diff since snapshot is a timestamp bump plus 4 new legitimate review routes",5-experience-engine/manifests/route-output-index.json,none,485b2f85a3508a0d4cbe31688f47cebb90518d25,ac722c4c542b2c213af8694e55dd562299449adc
META-ID-MISMATCH,(all 6 patterns),issue-002/003 vs handoff-003/002,issue-002/003 vs handoff-003/002,id_instability,register numbering,CONFIRMED,data,"conflict_register.csv numbers issue-002=why-jvto/issue-003=Bali-rating; handoff_register.csv numbers handoff-002=Bali-rating/handoff-003=why-jvto for the exact same two patterns - confirmed in the actual source CSVs inside audit_scope.zip, not only in playbook prose",docs/website-audit/2026-08-29/conflict_register.csv; docs/website-audit/2026-08-29/handoff_register.csv,use url_or_pattern as the stable key going forward instead of either numeric ID system,n/a,ac722c4c542b2c213af8694e55dd562299449adc
